timestamp,omega,khra_amp,gixx_amp,coherence,asymmetry,vorticity_mean,gpu_temp_c,gpu_power_w,cycle
2026-03-27T08:08:46.323990,0.6,0.01,0.01,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:49.346170,0.6,0.01,0.012,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:52.363096,0.6,0.02,0.004,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:55.383535,0.6,0.02,0.006,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:08:58.487502,0.6,0.02,0.008,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:09:01.508949,0.6,0.02,0.01,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:09:04.546151,0.6,0.02,0.012,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:09:07.572456,0.6,0.03,0.004,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:09:10.594312,0.6,0.03,0.006,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:09:13.611182,0.6,0.03,0.008,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:09:16.637213,0.6,0.03,0.01,0.7401,12.3386,0.028897,57,288.3,171600
2026-03-27T08:09:19.671568,0.6,0.03,0.012,0.7385,12.5225,0.033303,57,285.8,171950
2026-03-27T08:09:22.693864,0.6,0.04,0.004,0.739,12.4677,0.033133,58,293.1,172320
2026-03-27T08:09:25.793420,0.6,0.04,0.006,0.7384,12.5494,0.029938,57,283.6,172680
2026-03-27T08:09:28.833170,0.6,0.04,0.008,0.7383,12.5653,0.02553,57,282.9,173040
2026-03-27T08:09:31.881366,0.6,0.04,0.01,0.7388,12.4837,0.023739,57,283.1,173410
2026-03-27T08:09:34.935863,0.6,0.04,0.012,0.7387,12.4991,0.022983,57,283.5,173780
2026-03-27T08:09:37.952284,0.6,0.05,0.004,0.7397,12.3905,0.022952,57,285.2,174140
2026-03-27T08:09:40.961738,0.6,0.05,0.006,0.7394,12.4167,0.02289,57,285.1,174520
2026-03-27T08:09:43.982831,0.6,0.05,0.008,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:09:46.997310,0.6,0.05,0.01,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:09:50.010711,0.6,0.05,0.012,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:09:53.023321,0.7,0.01,0.004,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:09:56.126639,0.7,0.01,0.006,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:09:59.133881,0.7,0.01,0.008,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:02.149860,0.7,0.01,0.01,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:05.153734,0.7,0.01,0.012,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:08.161421,0.7,0.02,0.004,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:11.166349,0.7,0.02,0.006,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:14.178186,0.7,0.02,0.008,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:17.189726,0.7,0.02,0.01,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:20.204646,0.7,0.02,0.012,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:23.213497,0.7,0.03,0.004,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:26.339319,0.7,0.03,0.006,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:29.353808,0.7,0.03,0.008,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:32.360793,0.7,0.03,0.01,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:35.376191,0.7,0.03,0.012,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:38.389759,0.7,0.04,0.004,0.7393,12.4399,0.032357,57,281.2,174600
