
===================================================================
  P R O B E ΓÇö Stress-Response Forensics
===================================================================
  Probe A  cy 600-649:  Metabolic Injection (+mass)
  Probe B  cy 800:     Lattice Shear (top 25% rotated 90┬░)
  Probe C  cy 1100-1199: VRM Silence (omega locked 1.25)
  Probe D  cy 1400-1499: Vacuum Trap (10 particles at 10x accretion)
===================================================================

[CUDA] NVIDIA GeForce RTX 4090  SM 8.9  SMs: 128
[NVML] Idle: 41.1 W

  Power EMA: 41.1 W ΓÇö lattice re-initialized

  cyc  |  T+      |  omega  | speed range  | rho range          | enst       | part | p.mass   | M_total     | probe
  -----|----------|---------|-------------- |--------------------|------------|------|----------|-------------|------
  ** NEW GUARDIAN  T+0:00:00  cy0 b32  (0,8)  rho=1.00022  accreted=0.0048  total=1  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b33  (94,225)  rho=1.00022  accreted=0.0048  total=2  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b34  (31,191)  rho=1.00023  accreted=0.0048  total=3  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b35  (46,226)  rho=1.00023  accreted=0.0049  total=4  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b36  (9,242)  rho=1.00023  accreted=0.0049  total=5  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b37  (28,42)  rho=1.00023  accreted=0.0049  total=6  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b38  (170,33)  rho=1.00023  accreted=0.0049  total=7  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b39  (70,224)  rho=1.00023  accreted=0.0050  total=8  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b40  (90,45)  rho=1.00023  accreted=0.0050  total=9  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b41  (105,141)  rho=1.00023  accreted=0.0050  total=10  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b42  (41,127)  rho=1.00023  accreted=0.0051  total=11  [---]
    #0  pos( 108.6, 156.4)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #1  pos( 202.7, 117.3)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #2  pos( 139.7,  83.3)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #3  pos( 154.8, 118.2)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #4  pos( 117.9, 134.2)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #5  pos( 136.9, 190.1)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #6  pos(  23.0, 181.0)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #7  pos( 179.1, 115.9)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #8  pos( 199.1, 192.8)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #9  pos( 214.3,  32.7)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #10  pos( 150.3,  18.7)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #11  pos( 171.4,  75.7)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
    #12  pos(  82.4, 215.6)  mass=0.97  latent=1.993e-04  delta=+1.993e-04  PULSE
   501 | 0:15:06 | 1.2510 | 4.866160e-08 | [1.00117,1.00117] | 7.047e-13 |   13 |    12.58 |    65624.98 | ---
   502 | 0:15:08 | 1.2480 | 5.129550e-08 | [1.00117,1.00117] | 3.471e-13 |   13 |    12.60 |    65625.01 | ---
   503 | 0:15:10 | 1.2570 | 5.000038e-08 | [1.00117,1.00117] | 8.263e-13 |   13 |    12.63 |    65625.03 | ---
   504 | 0:15:11 | 1.2531 | 5.394395e-08 | [1.00117,1.00117] | 7.078e-13 |   13 |    12.65 |    65625.06 | ---
   505 | 0:15:13 | 1.2459 | 4.998583e-08 | [1.00117,1.00117] | 7.211e-13 |   13 |    12.68 |    65625.08 | ---
   506 | 0:15:15 | 1.2464 | 4.998583e-08 | [1.00117,1.00117] | 2.756e-12 |   13 |    12.70 |    65625.11 | ---
   507 | 0:15:17 | 1.2481 | 5.129550e-08 | [1.00117,1.00117] | 5.010e-13 |   13 |    12.73 |    65625.13 | ---
   508 | 0:15:19 | 1.2557 | 4.998583e-08 | [1.00117,1.00117] | 7.735e-13 |   13 |    12.75 |    65625.16 | ---
   509 | 0:15:21 | 1.2558 | 5.261973e-08 | [1.00117,1.00117] | 7.549e-13 |   13 |    12.78 |    65625.18 | ---
   510 | 0:15:23 | 1.2721 | 5.000038e-08 | [1.00117,1.00117] | 7.377e-13 |   13 |    12.80 |    65625.21 | ---
   511 | 0:15:25 | 1.3050 | 6.839400e-08 | [1.00117,1.00117] | 2.774e-12 |   13 |    12.83 |    65625.23 | ---
   512 | 0:15:27 | 1.2499 | 5.260517e-08 | [1.00117,1.00117] | 7.314e-13 |   13 |    12.85 |    65625.26 | ---
   513 | 0:15:29 | 1.2514 | 5.129550e-08 | [1.00117,1.00117] | 7.569e-13 |   13 |    12.88 |    65625.28 | ---
   514 | 0:15:31 | 1.2485 | 4.998583e-08 | [1.00117,1.00117] | 6.625e-13 |   13 |    12.90 |    65625.31 | ---
   515 | 0:15:33 | 1.2436 | 4.998583e-08 | [1.00117,1.00117] | 2.747e-12 |   13 |    12.93 |    65625.33 | ---
   516 | 0:15:35 | 1.2434 | 5.000038e-08 | [1.00117,1.00117] | 2.767e-12 |   13 |    12.95 |    65625.36 | ---
   517 | 0:15:36 | 1.2565 | 4.998583e-08 | [1.00117,1.00117] | 7.032e-13 |   13 |    12.98 |    65625.38 | ---
   518 | 0:15:38 | 1.2491 | 4.998583e-08 | [1.00117,1.00117] | 6.676e-13 |   13 |    13.00 |    65625.41 | ---
   519 | 0:15:40 | 1.2481 | 5.392940e-08 | [1.00117,1.00117] | 6.200e-13 |   13 |    13.02 |    65625.43 | ---
   520 | 0:15:42 | 1.2501 | 4.473259e-08 | [1.00117,1.00117] | 7.338e-13 |   13 |    13.05 |    65625.45 | ---
   521 | 0:15:44 | 1.2495 | 5.131005e-08 | [1.00117,1.00117] | 7.440e-13 |   13 |    13.07 |    65625.48 | ---
   522 | 0:15:46 | 1.2551 | 4.998583e-08 | [1.00117,1.00117] | 7.602e-13 |   13 |    13.09 |    65625.50 | ---
   523 | 0:15:48 | 1.2611 | 4.998583e-08 | [1.00117,1.00117] | 7.726e-13 |   13 |    13.12 |    65625.52 | ---
   524 | 0:15:50 | 1.2626 | 5.129550e-08 | [1.00117,1.00117] | 7.273e-13 |   13 |    13.14 |    65625.55 | ---
   525 | 0:15:52 | 1.2468 | 4.998583e-08 | [1.00117,1.00117] | 2.796e-12 |   13 |    13.16 |    65625.57 | ---
   526 | 0:15:54 | 1.2467 | 5.392940e-08 | [1.00117,1.00117] | 2.778e-12 |   13 |    13.19 |    65625.59 | ---
   527 | 0:15:56 | 1.2482 | 4.998583e-08 | [1.00117,1.00117] | 4.370e-13 |   13 |    13.21 |    65625.62 | ---
   528 | 0:15:58 | 1.2535 | 4.998583e-08 | [1.00117,1.00117] | 7.156e-13 |   13 |    13.23 |    65625.64 | ---
   529 | 0:16:00 | 1.2577 | 4.998583e-08 | [1.00117,1.00117] | 8.568e-13 |   13 |    13.26 |    65625.66 | ---
   530 | 0:16:01 | 1.2645 | 5.131005e-08 | [1.00117,1.00117] | 6.477e-13 |   13 |    13.28 |    65625.69 | ---
   531 | 0:16:03 | 1.2940 | 4.998583e-08 | [1.00117,1.00117] | 6.123e-13 |   13 |    13.30 |    65625.71 | ---
   532 | 0:16:05 | 1.2454 | 5.129550e-08 | [1.00117,1.00117] | 2.772e-12 |   13 |    13.33 |    65625.73 | ---
   533 | 0:16:07 | 1.2422 | 5.000038e-08 | [1.00117,1.00117] | 2.749e-12 |   13 |    13.35 |    65625.76 | ---
   534 | 0:16:09 | 1.2526 | 5.129550e-08 | [1.00117,1.00117] | 7.401e-13 |   13 |    13.37 |    65625.78 | ---
   535 | 0:16:11 | 1.2515 | 4.998583e-08 | [1.00117,1.00117] | 7.261e-13 |   13 |    13.40 |    65625.80 | ---
   536 | 0:16:13 | 1.2711 | 5.392940e-08 | [1.00117,1.00117] | 7.467e-13 |   13 |    13.42 |    65625.83 | ---
   537 | 0:16:15 | 1.2990 | 6.840855e-08 | [1.00117,1.00117] | 2.778e-12 |   13 |    13.44 |    65625.85 | ---
   538 | 0:16:17 | 1.2450 | 8.419738e-08 | [1.00117,1.00117] | 2.776e-12 |   13 |    13.47 |    65625.87 | ---
   539 | 0:16:19 | 1.2473 | 7.366179e-08 | [1.00117,1.00117] | 2.772e-12 |   13 |    13.49 |    65625.90 | ---
   540 | 0:16:21 | 1.2571 | 5.392940e-08 | [1.00117,1.00117] | 8.571e-13 |   13 |    13.51 |    65625.92 | ---
   541 | 0:16:23 | 1.2541 | 4.998583e-08 | [1.00117,1.00117] | 7.318e-13 |   13 |    13.54 |    65625.94 | ---
   542 | 0:16:25 | 1.2601 | 5.000038e-08 | [1.00117,1.00117] | 8.211e-13 |   13 |    13.56 |    65625.97 | ---
   543 | 0:16:26 | 1.2683 | 4.998583e-08 | [1.00117,1.00117] | 6.710e-13 |   13 |    13.58 |    65625.99 | ---
   544 | 0:16:28 | 1.2830 | 4.998583e-08 | [1.00117,1.00117] | 6.585e-13 |   13 |    13.61 |    65626.01 | ---
   545 | 0:16:30 | 1.2512 | 4.998583e-08 | [1.00117,1.00117] | 7.217e-13 |   13 |    13.63 |    65626.04 | ---
   546 | 0:16:32 | 1.2503 | 4.998583e-08 | [1.00117,1.00117] | 7.006e-13 |   13 |    13.65 |    65626.06 | ---
   547 | 0:16:34 | 1.2505 | 4.998583e-08 | [1.00117,1.00117] | 7.060e-13 |   13 |    13.68 |    65626.08 | ---
   548 | 0:16:36 | 1.2668 | 4.998583e-08 | [1.00117,1.00117] | 8.283e-13 |   13 |    13.70 |    65626.11 | ---
   549 | 0:16:38 | 1.2597 | 5.000038e-08 | [1.00117,1.00117] | 7.650e-13 |   13 |    13.72 |    65626.13 | ---
   550 | 0:16:40 | 1.2583 | 5.000038e-08 | [1.00117,1.00117] | 7.766e-13 |   13 |    13.75 |    65626.15 | ---
  [GHOST] Particle positions (first 20):
    #0  pos( 171.8,  93.2)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #1  pos(   9.9,  54.1)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #2  pos( 203.0,  20.0)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #3  pos( 218.1,  55.0)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #4  pos( 181.1,  71.0)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #5  pos( 200.2, 126.9)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #6  pos(  86.2, 117.8)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #7  pos( 242.3,  52.7)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #8  pos(   6.4, 129.6)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #9  pos(  21.5, 225.5)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #10  pos( 213.6, 211.5)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #11  pos( 234.6,  12.5)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
    #12  pos( 145.7, 152.4)  mass=1.06  latent=1.993e-04  delta=+1.993e-04  PULSE
   551 | 0:16:42 | 1.2583 | 5.131005e-08 | [1.00117,1.00117] | 6.193e-13 |   13 |    13.77 |    65626.18 | ---
   552 | 0:16:44 | 1.2516 | 4.998583e-08 | [1.00117,1.00117] | 7.495e-13 |   13 |    13.79 |    65626.20 | ---
   553 | 0:16:46 | 1.2507 | 4.998583e-08 | [1.00117,1.00117] | 6.983e-13 |   13 |    13.82 |    65626.22 | ---
   554 | 0:16:48 | 1.2571 | 5.129550e-08 | [1.00117,1.00117] | 8.191e-13 |   13 |    13.84 |    65626.24 | ---
   555 | 0:16:50 | 1.2575 | 4.998583e-08 | [1.00117,1.00117] | 8.276e-13 |   13 |    13.86 |    65626.27 | ---
   556 | 0:16:52 | 1.2831 | 6.839400e-08 | [1.00117,1.00117] | 1.216e-12 |   13 |    13.89 |    65626.29 | ---
   557 | 0:16:53 | 1.2873 | 5.656329e-08 | [1.00117,1.00117] | 5.408e-13 |   13 |    13.91 |    65626.31 | ---
   558 | 0:16:55 | 1.2472 | 6.314076e-08 | [1.00117,1.00117] | 2.770e-12 |   13 |    13.93 |    65626.34 | ---
   559 | 0:16:57 | 1.2463 | 5.394395e-08 | [1.00117,1.00117] | 2.787e-12 |   13 |    13.95 |    65626.36 | ---
   560 | 0:16:59 | 1.2479 | 5.129550e-08 | [1.00117,1.00117] | 3.862e-13 |   13 |    13.98 |    65626.38 | ---
   561 | 0:17:01 | 1.2518 | 5.129550e-08 | [1.00117,1.00117] | 6.515e-13 |   13 |    14.00 |    65626.41 | ---
   562 | 0:17:03 | 1.2577 | 5.525362e-08 | [1.00117,1.00117] | 8.012e-13 |   13 |    14.02 |    65626.43 | ---
   563 | 0:17:05 | 1.2705 | 5.392940e-08 | [1.00117,1.00117] | 7.881e-13 |   13 |    14.05 |    65626.45 | ---
   564 | 0:17:07 | 1.2844 | 5.129550e-08 | [1.00117,1.00117] | 3.905e-13 |   13 |    14.07 |    65626.48 | ---
   565 | 0:17:09 | 1.2467 | 7.233757e-08 | [1.00117,1.00117] | 2.766e-12 |   13 |    14.09 |    65626.50 | ---
   566 | 0:17:11 | 1.2434 | 4.998583e-08 | [1.00117,1.00117] | 2.769e-12 |   13 |    14.12 |    65626.52 | ---
   567 | 0:17:13 | 1.2467 | 5.392940e-08 | [1.00117,1.00117] | 2.766e-12 |   13 |    14.14 |    65626.55 | ---
   568 | 0:17:15 | 1.2459 | 4.998583e-08 | [1.00117,1.00117] | 2.753e-12 |   13 |    14.16 |    65626.57 | ---
   569 | 0:17:17 | 1.2536 | 5.656329e-08 | [1.00117,1.00117] | 7.243e-13 |   13 |    14.19 |    65626.59 | ---
   570 | 0:17:18 | 1.2853 | 5.132461e-08 | [1.00117,1.00117] | 6.376e-13 |   13 |    14.21 |    65626.62 | ---
   571 | 0:17:20 | 1.3012 | 5.132461e-08 | [1.00117,1.00117] | 2.747e-12 |   13 |    14.23 |    65626.64 | ---
   572 | 0:17:22 | 1.2447 | 6.577466e-08 | [1.00117,1.00117] | 2.767e-12 |   13 |    14.26 |    65626.66 | ---
   573 | 0:17:24 | 1.2480 | 5.131005e-08 | [1.00117,1.00117] | 4.637e-13 |   13 |    14.28 |    65626.69 | ---
   574 | 0:17:26 | 1.2418 | 4.998583e-08 | [1.00117,1.00117] | 2.777e-12 |   13 |    14.30 |    65626.71 | ---
   575 | 0:17:28 | 1.2481 | 5.129550e-08 | [1.00117,1.00117] | 3.405e-13 |   13 |    14.33 |    65626.73 | ---
   576 | 0:17:30 | 1.2663 | 4.998583e-08 | [1.00117,1.00117] | 7.081e-13 |   13 |    14.35 |    65626.76 | ---
   577 | 0:17:32 | 1.2678 | 4.998583e-08 | [1.00117,1.00117] | 5.039e-13 |   13 |    14.37 |    65626.78 | ---
   578 | 0:17:34 | 1.2693 | 5.392940e-08 | [1.00117,1.00117] | 2.770e-12 |   13 |    14.40 |    65626.80 | ---
   579 | 0:17:36 | 1.2459 | 4.998583e-08 | [1.00117,1.00117] | 2.756e-12 |   13 |    14.42 |    65626.83 | ---
   580 | 0:17:38 | 1.2439 | 5.260517e-08 | [1.00117,1.00117] | 2.778e-12 |   13 |    14.44 |    65626.85 | ---
   581 | 0:17:40 | 1.2361 | 5.131005e-08 | [1.00117,1.00117] | 2.795e-12 |   13 |    14.47 |    65626.87 | ---
   582 | 0:17:42 | 1.2348 | 4.998583e-08 | [1.00117,1.00117] | 2.755e-12 |   13 |    14.49 |    65626.90 | ---
   583 | 0:17:44 | 1.2399 | 4.998583e-08 | [1.00117,1.00117] | 2.761e-12 |   13 |    14.51 |    65626.92 | ---
   584 | 0:17:45 | 1.2713 | 4.998583e-08 | [1.00117,1.00117] | 6.959e-13 |   13 |    14.54 |    65626.94 | ---
   585 | 0:17:47 | 1.2461 | 5.261973e-08 | [1.00117,1.00117] | 2.765e-12 |   13 |    14.56 |    65626.97 | ---
   586 | 0:17:49 | 1.2422 | 5.394395e-08 | [1.00117,1.00117] | 2.791e-12 |   13 |    14.58 |    65626.99 | ---
   587 | 0:17:51 | 1.2449 | 6.840855e-08 | [1.00117,1.00117] | 2.776e-12 |   13 |    14.61 |    65627.01 | ---
   588 | 0:17:53 | 1.2443 | 4.998583e-08 | [1.00117,1.00117] | 2.766e-12 |   13 |    14.63 |    65627.04 | ---
   589 | 0:17:55 | 1.2590 | 5.000038e-08 | [1.00117,1.00117] | 8.401e-13 |   13 |    14.65 |    65627.06 | ---
   590 | 0:17:57 | 1.2672 | 5.132461e-08 | [1.00117,1.00117] | 5.395e-13 |   13 |    14.68 |    65627.08 | ---
   591 | 0:17:59 | 1.2744 | 4.998583e-08 | [1.00117,1.00117] | 6.220e-13 |   13 |    14.70 |    65627.10 | ---
   592 | 0:18:01 | 1.2468 | 4.998583e-08 | [1.00117,1.00117] | 2.782e-12 |   13 |    14.72 |    65627.13 | ---
   593 | 0:18:03 | 1.2480 | 5.392940e-08 | [1.00117,1.00117] | 5.199e-13 |   13 |    14.75 |    65627.15 | ---
   594 | 0:18:05 | 1.2461 | 4.998583e-08 | [1.00117,1.00117] | 2.768e-12 |   13 |    14.77 |    65627.17 | ---
   595 | 0:18:07 | 1.2497 | 5.129550e-08 | [1.00117,1.00117] | 6.839e-13 |   13 |    14.79 |    65627.20 | ---
   596 | 0:18:09 | 1.2443 | 5.000038e-08 | [1.00117,1.00117] | 2.758e-12 |   13 |    14.81 |    65627.22 | ---
   597 | 0:18:10 | 1.2615 | 4.998583e-08 | [1.00117,1.00117] | 7.562e-13 |   13 |    14.84 |    65627.24 | ---
   598 | 0:18:12 | 1.2486 | 4.998583e-08 | [1.00117,1.00117] | 5.910e-13 |   13 |    14.86 |    65627.27 | ---
   599 | 0:18:14 | 1.2430 | 5.000038e-08 | [1.00117,1.00117] | 2.782e-12 |   13 |    14.88 |    65627.29 | ---

  >>>>>> PROBE START: INJ at cycle 600
  >>>>>> Pre-probe: M_total=65627.29  particles=13  rho_max=1.00117
   600 | 0:18:16 | 1.2491 | 4.998583e-08 | [1.00117,1.00117] | 6.808e-13 |   13 |    14.91 |    65627.31 | INJ
  [GHOST] Particle positions (first 20):
    #0  pos( 235.1,  30.0)  mass=1.15  latent=1.993e-04  delta=-3.012e-09  PULSE
    #1  pos(  73.1, 246.9)  mass=1.15  latent=1.993e-04  delta=+2.619e-10  PULSE
    #2  pos(  10.2, 212.8)  mass=1.15  latent=1.993e-04  delta=-2.998e-09  PULSE
    #3  pos(  25.3, 247.8)  mass=1.15  latent=1.993e-04  delta=-2.314e-09  PULSE
    #4  pos( 244.4,   7.7)  mass=1.15  latent=1.993e-04  delta=+6.985e-10  PULSE
    #5  pos(   7.4,  63.7)  mass=1.15  latent=1.993e-04  delta=-2.023e-09  PULSE
    #6  pos( 149.5,  54.6)  mass=1.15  latent=1.993e-04  delta=+6.548e-10  PULSE
    #7  pos(  49.6, 245.5)  mass=1.15  latent=1.993e-04  delta=-1.382e-09  PULSE
    #8  pos(  69.6,  66.4)  mass=1.15  latent=1.993e-04  delta=+1.164e-09  PULSE
    #9  pos(  84.8, 162.3)  mass=1.15  latent=1.993e-04  delta=-1.804e-09  PULSE
    #10  pos(  20.8, 148.3)  mass=1.15  latent=1.993e-04  delta=-1.746e-09  PULSE
    #11  pos(  41.8, 205.3)  mass=1.15  latent=1.993e-04  delta=-2.503e-09  PULSE
    #12  pos( 208.9,  89.2)  mass=1.15  latent=1.993e-04  delta=+3.929e-10  PULSE
   601 | 0:18:18 | 1.2509 | 4.998583e-08 | [1.00117,1.00117] | 7.498e-13 |   13 |    14.93 |    65627.34 | INJ
   602 | 0:18:20 | 1.2534 | 4.998583e-08 | [1.00117,1.00117] | 7.132e-13 |   13 |    14.95 |    65627.36 | INJ
   603 | 0:18:22 | 1.2591 | 4.998583e-08 | [1.00117,1.00117] | 7.844e-13 |   13 |    14.98 |    65627.38 | INJ
   604 | 0:18:24 | 1.2778 | 5.000038e-08 | [1.00117,1.00117] | 5.115e-13 |   13 |    15.00 |    65627.41 | INJ
   605 | 0:18:26 | 1.2480 | 5.656329e-08 | [1.00117,1.00117] | 3.374e-13 |   13 |    15.02 |    65627.43 | INJ
   606 | 0:18:28 | 1.2466 | 4.998583e-08 | [1.00117,1.00117] | 2.785e-12 |   13 |    15.05 |    65627.45 | INJ
   607 | 0:18:30 | 1.2410 | 5.000038e-08 | [1.00117,1.00117] | 2.774e-12 |   13 |    15.07 |    65627.48 | INJ
