sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
1,omega,1.97,0.687273,0.685100,0.689000,29.772405,0.027720,0.002402,-0.000510,0.000513,-0.000190,501
1,omega,1.97,0.687283,0.685100,0.689100,29.772629,0.027731,0.002403,-0.000514,0.000515,-0.000199,501
1,omega,1.975,0.686874,0.684400,0.688700,29.869299,0.028692,0.002431,-0.000495,0.000528,-0.000205,501
1,omega,1.975,0.686929,0.684400,0.688900,29.859676,0.028476,0.002425,-0.000508,0.000525,-0.000210,501
1,omega,1.98,0.686299,0.683400,0.688700,30.000464,0.029810,0.002470,-0.000491,0.000556,-0.000227,501
1,omega,1.98,0.686474,0.683400,0.688800,29.968054,0.029341,0.002454,-0.000498,0.000545,-0.000227,501
1,omega,1.985,0.685909,0.682200,0.688900,30.096304,0.031033,0.002525,-0.000487,0.000568,-0.000242,501
1,omega,1.985,0.686139,0.682900,0.688800,30.052482,0.030286,0.002496,-0.000476,0.000557,-0.000239,501
1,omega,1.99,0.685606,0.681100,0.689200,30.175077,0.032439,0.002649,-0.000489,0.000579,-0.000247,501
1,omega,1.99,0.685634,0.682200,0.688200,30.170148,0.031325,0.002601,-0.000489,0.000561,-0.000236,501
1f,omega,1.95,0.686067,0.684300,0.687400,30.100953,0.024775,0.002323,-0.000558,0.000481,-0.000148,501
1f,omega,1.95,0.686268,0.684800,0.688800,30.062735,0.025462,0.002341,-0.000544,0.000490,-0.000158,501
1f,omega,1.951,0.686100,0.684800,0.687500,30.111690,0.024895,0.002326,-0.000556,0.000482,-0.000150,501
1f,omega,1.951,0.686284,0.684800,0.688500,30.076870,0.025553,0.002343,-0.000543,0.000492,-0.000158,501
1f,omega,1.952,0.686101,0.684500,0.687600,30.128456,0.025016,0.002329,-0.000553,0.000483,-0.000152,501
1f,omega,1.952,0.686271,0.684700,0.688400,30.096779,0.025644,0.002346,-0.000540,0.000493,-0.000159,501
1f,omega,1.953,0.686107,0.684500,0.687600,30.145244,0.025141,0.002332,-0.000549,0.000485,-0.000154,501
1f,omega,1.953,0.686251,0.684800,0.688500,30.118486,0.025733,0.002348,-0.000537,0.000493,-0.000158,501
1f,omega,1.954,0.686113,0.684700,0.687600,30.162506,0.025271,0.002336,-0.000545,0.000486,-0.000155,501
1f,omega,1.954,0.686248,0.684600,0.688500,30.137486,0.025827,0.002350,-0.000535,0.000493,-0.000158,501
1f,omega,1.955,0.686115,0.684500,0.687700,30.179471,0.025409,0.002339,-0.000543,0.000488,-0.000156,501
1f,omega,1.955,0.686247,0.684800,0.688200,30.154790,0.025914,0.002353,-0.000534,0.000494,-0.000159,501
1f,omega,1.956,0.686125,0.684800,0.687600,30.195176,0.025533,0.002343,-0.000540,0.000489,-0.000157,501
1f,omega,1.956,0.686247,0.684800,0.688100,30.172957,0.026008,0.002356,-0.000531,0.000496,-0.000160,501
1f,omega,1.957,0.686133,0.684900,0.687600,30.211193,0.025667,0.002346,-0.000537,0.000490,-0.000157,501
1f,omega,1.957,0.686238,0.684700,0.688000,30.192552,0.026105,0.002358,-0.000531,0.000497,-0.000163,501
